Weeks,Cantidad de fallas mecanicas,Cantidad de vehiculos en operacion,Disponibilidad de la flota,Disponibilidad de talleres,Cantidad de plazas apartadas por mantenimiento,Cantidad de plazas sin asignacion de mantenimiento,Cantidad de repariones preventivas,Numero de veces que ocurre una falla mecanica,Reparacion de fallas mecanicas,Vehiculos asignados a operar,Vehiculos devueltos al deposito,Vehiculos que regresan de mantenimiento,Vehiculos que se retiran por mantenimiento
0,0.0,36.0,0.0,48.0,0.048,0.0,0.0,31.499999999999996,0.0,0.0,2.7,25.0,0.08
1,33.75,32.4,24.93,47.904,0.042,0.5249999999999999,0.546,28.349999999999998,0.488,19.195,2.43,12.54,0.07
2,61.845,50.1,19.95,48.732,0.06,0.0,1.548,43.833999999999996,1.3760000000000001,15.356000000000002,3.753,15.03,0.1
3,102.35999999999999,61.848,20.91,48.6,0.078,0.0,3.168,54.10999999999999,2.8160000000000003,16.093000000000004,4.635000000000001,14.55,0.13
4,147.14999999999998,73.224,20.69,48.443999999999996,0.09,0.0,5.388,64.064,4.792000000000001,15.928000000000003,5.49,14.66,0.15
5,193.35000000000002,83.28,20.71,48.263999999999996,0.10200000000000001,0.0,8.052,72.86999999999999,7.16,15.950000000000001,6.246,14.65,0.17
6,237.87,92.34,20.68,48.059999999999995,0.11399999999999999,0.0,10.985999999999999,80.80799999999999,9.76,15.928000000000003,6.930000000000001,14.66,0.19
7,278.685,100.48799999999999,20.67,47.832,0.126,1.008,14.004,87.91999999999999,12.448,15.917000000000002,7.5329999999999995,14.66,0.21
8,314.54999999999995,107.79599999999999,20.66,49.308,0.132,0.0,16.956,94.332,15.072000000000001,15.906000000000002,8.082,14.67,0.22
9,344.96999999999997,114.372,20.64,49.032,0.144,0.0,19.728,100.072,17.536,15.895000000000001,8.577,14.68,0.24
10,369.99,120.276,20.63,48.74399999999999,0.15,0.0,22.247999999999998,105.238,19.776,15.884,9.018,14.68,0.25
11,390.04499999999996,125.58,20.62,48.443999999999996,0.156,0.0,24.492,109.88599999999998,21.768,15.884,9.423,14.69,0.26
