Weeks,Cantidad de fallas mecanicas,Cantidad de vehiculos en operacion,Disponibilidad de la flota,Disponibilidad de talleres,Cantidad de plazas apartadas por mantenimiento,Cantidad de plazas sin asignacion de mantenimiento,Cantidad de repariones preventivas,Numero de veces que ocurre una falla mecanica,Reparacion de fallas mecanicas,Vehiculos asignados a operar,Vehiculos devueltos al deposito,Vehiculos que regresan de mantenimiento,Vehiculos que se retiran por mantenimiento
0,0.0,45.0,0.0,60.0,0.032,0.0,0.0,38.25,0.0,0.0,1.7999999999999998,25.0,0.08
1,40.5,40.5,24.93,59.88,0.028000000000000004,0.30000000000000004,0.36400000000000005,34.425,0.305,24.429999999999996,1.62,12.54,0.07
2,74.214,62.625,19.95,60.915,0.04000000000000001,0.0,1.032,53.227,0.86,19.544,2.502,15.03,0.1
3,122.832,77.31,20.91,60.75,0.052000000000000005,0.0,2.112,65.705,1.76,20.482,3.0900000000000003,14.55,0.13
4,176.57999999999998,91.53,20.69,60.55499999999999,0.06,0.0,3.5920000000000005,77.792,2.995,20.272,3.6599999999999997,14.66,0.15
5,232.02,104.10000000000001,20.71,60.33,0.068,0.0,5.368,88.485,4.475,20.299999999999997,4.164,14.65,0.17
6,285.444,115.42500000000001,20.68,60.074999999999996,0.07600000000000001,0.0,7.324,98.124,6.1,20.272,4.62,14.66,0.19
7,334.42199999999997,125.60999999999999,20.67,59.79,0.084,0.576,9.336,106.75999999999999,7.78,20.258,5.021999999999999,14.66,0.21
8,377.46,134.745,20.66,61.635000000000005,0.08800000000000001,0.0,11.304000000000002,114.54599999999999,9.42,20.244,5.388,14.67,0.22
9,413.964,142.965,20.64,61.29,0.096,0.0,13.152000000000001,121.516,10.96,20.229999999999997,5.717999999999999,14.68,0.24
10,443.988,150.345,20.63,60.92999999999999,0.1,0.0,14.832,127.789,12.36,20.215999999999998,6.012,14.68,0.25
11,468.054,156.97500000000002,20.62,60.55499999999999,0.10400000000000001,0.0,16.328,133.433,13.605,20.215999999999998,6.282,14.69,0.26
12,486.882,162.93,20.61,60.165,0.10800000000000001,0.0,17.628,138.499,14.69,20.201999999999998,6.515999999999999,14.69,0.27
13,501.3,168.285,20.61,59.760000000000005,0.11200000000000002,0.6360000000000001,18.748,143.038,15.62,20.188,6.732,14.7,0.28
14,512.154,173.085,20.6,61.724999999999994,0.11599999999999999,0.0,19.700000000000003,147.135,16.415,20.188,6.9239999999999995,14.7,0.29
15,520.182,177.405,20.59,61.29,0.12,0.0,20.508000000000003,150.79,17.09,20.174,7.098,14.7,0.3
16,526.0500000000001,181.29,20.59,60.84,0.12,0.0,21.192,154.10500000000002,17.66,20.174,7.254,14.71,0.3
17,530.262,184.77,20.58,60.39,0.124,0.0,21.772000000000002,157.063,18.145,20.174,7.3919999999999995,14.71,0.31
18,533.268,187.905,20.58,59.925000000000004,0.124,0.18400000000000002,22.268,159.715,18.555,20.16,7.517999999999999,14.71,0.31
19,535.374,190.72500000000002,20.57,60.150000000000006,0.128,0.0,22.692,162.112,18.91,20.16,7.626,14.71,0.32
20,536.85,193.245,20.57,59.67,0.128,0.876,23.056,164.271,19.21,20.16,7.728,14.72,0.32
21,537.8580000000001,195.52499999999998,20.56,62.474999999999994,0.132,0.0,23.368000000000002,166.192,19.475,20.16,7.818,14.72,0.33
22,538.56,197.565,20.56,61.980000000000004,0.132,0.0,23.644000000000002,167.926,19.705,20.146,7.901999999999999,14.72,0.33
23,539.028,199.395,20.56,61.485,0.132,0.0,23.884,169.49,19.905,20.146,7.973999999999999,14.72,0.33
24,539.352,201.04500000000002,20.56,60.989999999999995,0.136,0.0,24.096000000000004,170.884,20.08,20.146,8.04,14.72,0.34
25,539.568,202.515,20.55,60.480000000000004,0.136,0.0,24.284000000000002,172.142,20.235,20.146,8.1,14.72,0.34
26,539.712,203.85000000000002,20.55,59.985,0.136,0.06,24.448,173.281,20.375,20.146,8.154,14.72,0.34
27,539.8199999999999,205.04999999999998,20.55,59.685,0.136,0.8320000000000001,24.596000000000004,174.284,20.495,20.132,8.202,14.73,0.34
28,539.874,206.115,20.55,62.295,0.136,0.0,24.728,175.202,20.605,20.132,8.244,14.73,0.34
29,539.91,207.07500000000002,20.55,61.785,0.13999999999999999,0.0,24.848,176.018,20.705,20.132,8.286,14.73,0.35
30,539.946,207.945,20.55,61.275000000000006,0.13999999999999999,0.0,24.952,176.749,20.795,20.132,8.315999999999999,14.73,0.35
31,539.964,208.72500000000002,20.54,60.75,0.13999999999999999,0.0,25.044,177.412,20.87,20.132,8.352,14.73,0.35
32,539.9820000000001,209.43,20.54,60.224999999999994,0.13999999999999999,0.0,25.128,178.00699999999998,20.94,20.132,8.376,14.73,0.35
33,539.9820000000001,210.06,20.54,59.699999999999996,0.13999999999999999,0.792,25.204,178.551,21.005,20.132,8.4,14.73,0.35
34,539.9820000000001,210.615,20.54,62.16,0.13999999999999999,0.0,25.272000000000002,179.027,21.06,20.132,8.424,14.73,0.35
35,540.0,211.125,20.54,61.62,0.13999999999999999,0.0,25.336000000000002,179.452,21.11,20.132,8.442,14.73,0.35
36,540.0,211.57500000000002,20.54,61.095,0.13999999999999999,0.0,25.388,179.84300000000002,21.16,20.132,8.466,14.73,0.35
37,540.0,211.995,20.54,60.57000000000001,0.13999999999999999,0.0,25.44,180.183,21.2,20.132,8.478,14.73,0.35
38,540.0,212.355,20.54,60.045,0.13999999999999999,0.0,25.484,180.506,21.235,20.132,8.496,14.73,0.35
39,540.0,212.685,20.54,59.505,0.13999999999999999,1.308,25.524,180.778,21.27,20.132,8.508,14.73,0.35
40,540.0,212.985,20.54,63.885000000000005,0.13999999999999999,0.0,25.556,181.033,21.3,20.132,8.52,14.73,0.35
41,540.0,213.255,20.54,63.345,0.144,0.0,25.588,181.254,21.325,20.132,8.532,14.73,0.36
42,540.0,213.495,20.54,62.82000000000001,0.144,0.0,25.62,181.458,21.35,20.132,8.538,14.73,0.36
43,540.0,213.70499999999998,20.54,62.28,0.144,0.0,25.644000000000002,181.64499999999998,21.37,20.132,8.549999999999999,14.73,0.36
44,540.0,213.89999999999998,20.54,61.755,0.144,0.0,25.668000000000003,181.815,21.39,20.132,8.556,14.73,0.36
45,540.0,214.065,20.54,61.215,0.144,0.0,25.688000000000002,181.96800000000002,21.405,20.132,8.562,14.73,0.36
46,540.0,214.23,20.54,60.675000000000004,0.144,0.0,25.708,182.087,21.425,20.132,8.568,14.73,0.36
47,540.0,214.365,20.54,60.150000000000006,0.144,0.0,25.724000000000004,182.20600000000002,21.435,20.132,8.574,14.73,0.36
48,540.0,214.485,20.54,59.61,0.144,1.044,25.74,182.325,21.45,20.118,8.58,14.73,0.36
49,540.0,214.605,20.54,62.985,0.144,0.0,25.752,182.41,21.46,20.118,8.586,14.73,0.36
50,540.0,214.70999999999998,20.54,62.44500000000001,0.144,0.0,25.764,182.49499999999998,21.47,20.118,8.586,14.73,0.36
51,540.0,214.79999999999998,20.54,61.92,0.144,0.0,25.776,182.58,21.48,20.118,8.592,14.73,0.36
52,540.0,214.875,20.53,61.38,0.144,0.0,25.784,182.648,21.49,20.118,8.597999999999999,14.73,0.36
53,540.0,214.95000000000002,20.53,60.84,0.144,0.0,25.796,182.716,21.495,20.118,8.597999999999999,14.73,0.36
54,540.0,215.02499999999998,20.53,60.300000000000004,0.144,0.0,25.804000000000002,182.767,21.5,20.118,8.597999999999999,14.73,0.36
